symbol,setup,direction,grade,signal_score,entry_date,entry_price,stop_price,tp1_price,tp2_price,stop_mode,exit_date,exit_price,exit_reason,pnl_r,pnl_pct,bars_held,ob_confirmed
2382,A1,long,A,7,2026-01-21,275.5,261.49107142857144,277.75,280.0,fixed,2026-01-22,280.0,TP2,0.3212237093690252,0.016333938294010888,1,True
2382,A1,long,A,7,2026-01-22,279.5,261.55357142857144,279.75,280.0,fixed,2026-01-23,280.0,TP2,0.02786069651741296,0.0017889087656529517,1,True
2382,A1,long,A,7,2026-01-23,284.5,261.5892857142857,286.0,287.5,fixed,2026-01-26,286.0,TP1,0.06547155105222138,0.005272407732864675,1,True
2382,A1,long,A,7,2026-01-26,283.0,261.55357142857144,285.0,287.0,fixed,2026-01-27,287.0,TP2,0.18651124063280614,0.014134275618374558,1,True
2330,A1,long,A,6,2026-02-10,1845.0,1701.4285714285713,1831.5,1818.0,fixed,2026-02-11,1818.0,TP2,-0.18805970149253717,-0.014634146341463415,1,True
2330,A1,short,A,6,2026-03-25,1865.0,2024.5535714285713,1847.5,1830.0,fixed,2026-03-26,1847.5,TP1,0.10968102965864585,0.00938337801608579,1,True
2449,A1,long,A,6,2026-04-15,303.0,267.0,305.5,308.0,fixed,2026-04-30,308.0,TP2,0.1388888888888889,0.0165016501650165,11,True
2449,A1,long,A,6,2026-04-16,293.0,267.0,300.5,308.0,fixed,2026-04-23,300.5,TP1,0.28846153846153844,0.025597269624573378,5,True
2317,A1,short,A,7,2026-02-11,222.5,234.86607142857142,219.0,215.5,fixed,2026-02-25,235.0,SL,-1.0108303249097483,-0.056179775280898875,3,True
2317,A1,short,A,6,2026-03-11,212.5,243.25892857142858,211.0,209.5,fixed,2026-03-13,211.0,TP1,0.04876632801161101,0.007058823529411765,2,True
2317,A1,short,A,6,2026-03-12,217.0,243.34821428571428,213.25,209.5,fixed,2026-03-13,213.25,TP1,0.14232463571670625,0.01728110599078341,1,True
2317,A1,short,A,6,2026-03-13,211.5,243.38392857142858,210.5,209.5,fixed,2026-03-18,210.5,TP1,0.031363763651638184,0.004728132387706856,3,True
2317,A1,short,A,6,2026-03-16,216.0,243.375,212.75,209.5,fixed,2026-03-17,212.75,TP1,0.1187214611872146,0.015046296296296295,1,True
2317,A1,short,A,6,2026-03-27,197.0,241.66071428571428,197.25,197.5,fixed,2026-03-30,197.5,TP2,-0.011195521791283488,-0.0025380710659898475,1,True
3231,A1,short,A,6,2026-02-03,130.5,161.0,132.0,133.5,fixed,2026-02-04,133.5,TP2,-0.09836065573770492,-0.022988505747126436,1,True
3231,A1,short,A,6,2026-02-11,130.5,146.5,129.5,128.5,fixed,2026-02-23,128.5,TP2,0.125,0.01532567049808429,1,True
3231,A1,long,A,6,2026-04-16,134.0,122.5,134.0,134.0,fixed,2026-04-17,134.0,TP2,0.0,0.0,1,True
